Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C39,100nF,C_0603_1608Metric,109.8,-50.975,270,top
C40,100nF,C_0603_1608Metric,106.7,-54.8,0,top
C41,100nF,C_0603_1608Metric,103.2,-52,90,top
C43,100nF,C_0603_1608Metric,115.7,-50.5,180,top
C44,100nF,C_0603_1608Metric,118.9,-62.6,180,top
C45,100pF,C_0603_1608Metric,117.5,-46.9,180,top
C46,12pF,C_0603_1608Metric,117.725,-41.3,180,top
C47,180pF,C_0603_1608Metric,121,-46.9,0,top
C48,56pF,C_0603_1608Metric,122.375,-41.5,180,top
C49,150pF,C_0603_1608Metric,124.3,-46.9,180,top
C50,39pF,C_0603_1608Metric,126.9,-41.6,180,top
C51,56pF,C_0603_1608Metric,127.5,-46.9,180,top
C52,100uF/16V,CP_EIA-3528-21_Kemet-B,79.5,-62.6,180,top
C53,100nF,C_0603_1608Metric,84,-62.5,270,top
C54,100nF,C_0603_1608Metric,79.875,-54.1,180,top
C55,10uF/16V,CP_EIA-3528-21_Kemet-B,79.9,-57.9,90,top
C56,22uF,C_0603_1608Metric,83.6,-47.7,90,top
C57,22uF,C_0603_1608Metric,88.3,-41.7,180,top
D3,1N4148,D_SOD-123,100.9,-52.8,270,top
D4,1N5817,D_SOD-123,92.4,-41.8,0,top
D6,1N4148,D_SOD-123,98.4,-52.8,90,top
L3,330nH,L_1210_3225Metric,117.7,-44.2,0,top
L8,270nH,L_1008_2520Metric,122.4,-44.2,0,top
L9,270nH,L_1008_2520Metric,126.825,-44.2,0,top
L11,100uH,L_0805_2012Metric,88.4,-62.1,0,top
L12,22uH,SubW_PWR_INDUCTOR,92.6,-48,90,top
R17,4.7k,R_0603_1608Metric,102.1,-47.375,270,top
R18,4.7k,R_0603_1608Metric,100.3,-47.4,270,top
R20,3.9k,R_0603_1608Metric,86.3,-50.9,180,top
R21,12k,R_0603_1608Metric,83,-44,270,top
R22,1.1k,R_0603_1608Metric,85,-44,90,top
U5,Si5351A,MSOP-10_3x3mm_P0.5mm,107,-47.5,0,top
U7,74ACT244,TSSOP-20_4.4x6.5mm_P0.65mm,115.6,-55.1,0,top
U8,AMS1117-3.3,SOT-223-3_TabPin2,87,-56.4,0,top
U9,MT3608,SOT-23-6,86.4,-47.6,270,top
Y2,26Mhz,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,106.7,-51.95,0,top
